qm9_id,smiles,ionization_potential_eV
18,[H]C([H])([H])C(=O)C([H])([H])[H],9.8666239874276
34,[H]OC([H])([H])C#N,11.919552793553189
72,[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],9.725050815679275
155,[H]OC([H])([H])[C@]1([H])OC1([H])[H],10.620047301403227
222,[H]C#CC(O[H])(C([H])([H])[H])C([H])([H])[H],10.322318112067537
236,[H]C([H])([H])C(=O)C([H])([H])C#N,10.571545454445177
243,[H]C(=O)N([H])C(=O)C([H])([H])[H],10.058354111491052
255,[H]C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],9.971930087535851
344,[H]C(=O)/C(=N/C([H])([H])[H])N([H])[H],9.659242638635902
377,[H]C#C[C@@]([H])(OC([H])([H])[H])C([H])([H])[H],10.147917605595586
384,[H]OC([H])([H])[C@@]([H])(C([H])=O)C([H])([H])[H],10.098241394119153
407,[H]C(=O)C1(C([H])([H])[H])C([H])([H])C1([H])[H],10.634144415836758
408,[H]C(=O)[C@@]1(C([H])([H])[H])N([H])C1([H])[H],10.008386338174118
416,[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],9.8784007869544
478,[H]C1([H])C([H])([H])[C@@]2(C([H])([H])[H])C([H])([H])[C@@]12[H],9.312343059397373
482,[H]O[C@@]12C([H])([H])C([H])([H])[C@]1([H])C2([H])[H],9.615716165075959
516,[H]OC([H])([H])C#CC([H])=O,10.853363580246993
539,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])=O,10.129119862967714
553,[H]C#CC1([H])C([H])([H])OC1([H])[H],10.49874523551283
576,[H]C([H])(C#N)[C@]1([H])OC1([H])[H],11.12485018487911
578,[H]/N=C(\[H])OC1([H])C([H])([H])C1([H])[H],10.126677622004193
580,[H]C(=O)C([H])([H])[C@]1([H])N([H])C1([H])[H],9.94917645970089
747,[H]c1nnc([H])n1C([H])([H])[H],9.967070735324295
751,[H]C([H])([H])n1nnnn1,12.020480987065623
786,[H]Oc1nn([H])nc1[H],9.556548720037023
803,[H]ON=C1C([H])([H])N(C([H])([H])[H])C1([H])[H],8.817153411734026
813,[H]O/N=C1\C([H])([H])C([H])([H])[C@@]1([H])O[H],9.99232368272897
827,N#CC(F)(F)F,14.330082897388035
832,[H]c1c(C([H])([H])[H])c([H])n([H])c1C([H])([H])[H],7.8067036401021985
842,[H]c1oc(N([H])[H])nc1C([H])([H])[H],8.387981063340083
843,[H]Oc1nc(C([H])([H])[H])c([H])o1,8.952773183881094
856,[H]c1oc(N([H])[H])nc1N([H])[H],7.862132765849625
859,[H]Oc1c([H])c(O[H])n([H])c1[H],7.601166649138215
893,[H]c1oc(=O)oc1N([H])[H],8.926679537977305
923,[H]c1nc([H])n([H])c(=O)c1[H],9.477754698036875
942,[H]c1nc([H])c(N([H])[H])nc1[H],8.775237128419011
953,[H]Oc1c([H])nc([H])nc1[H],9.698403061597212
982,[H]Oc1c(N([H])[H])nc([H])n1[H],8.181618326533371
1016,[H]c1nc(C#N)oc1[H],10.327496564043596
1028,[H]C(=O)c1oc([H])nc1[H],10.239638029276803
1037,[H]c1o/c(=N\C([H])([H])[H])n([H])c1[H],7.877824271592926
1051,[H]c1nc([H])c(OC([H])([H])[H])o1,8.890658019167672
1070,[H]c1nc(OC([H])([H])[H])c([H])n1[H],8.1045422872385
1094,[H]C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],10.83972395180332
1111,[H]/N=C(/OC(=O)N([H])[H])C([H])([H])[H],10.465037704959926
1120,[H]C([H])([H])C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],9.606370939647617
1144,[H]OC1(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C1([H])[H],8.38424609105081
1159,[H]C#C[C@](C#N)(O[H])C([H])([H])[H],11.35963414793388
1230,[H]C(=O)C([H])([H])N([H])C(=O)N([H])[H],9.986624728635467
1237,[H]C(=O)C#CC([H])(C([H])([H])[H])C([H])([H])[H],10.615103008850646
1240,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C#N,11.762380558582255
1258,[H]/C(=N\C([H])([H])[H])OC(=O)N([H])[H],10.396101285185248
1262,[H]C([H])([H])C(=O)C#CC([H])([H])C([H])([H])[H],10.512318185175156
1264,[H]OC([H])([H])C#CC(=O)N([H])[H],10.586198911111058
1290,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[H],9.825768646127521
1293,[H]OC([H])([H])C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])[H],10.552069059845797
1301,[H]C([H])([H])C1(C([H])([H])[H])C(=O)C([H])([H])C1([H])[H],9.28857378833735
1326,[H]C#C[C@]1([H])C([H])([H])[C@]1(O[H])C([H])([H])[H],9.600586536361526
1371,[H]C#C/C(=N\[H])OC([H])=O,11.088764343793695
1396,[H]C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C#N,10.852306358025722
1411,[H]C#C[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])=O,10.306635343900455
1444,[H]C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H],9.884201557889464
1497,[H]C#CC(=O)OC([H])([H])C([H])([H])[H],10.897495610552948
1509,[H]C(=O)C(=O)C([H])([H])OC([H])([H])[H],10.080974939598573
1536,[H]OC([H])([H])C(=O)C([H])([H])C([H])([H])O[H],9.845772808286524
1579,[H]C([H])([H])OC([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])[H],9.898817125420901
1585,[H]/N=C(/C(=O)C#N)N([H])[H],10.446634440358276
1596,[H]/N=C(\N([H])[H])[C@]([H])(C#N)O[H],10.50517446157921
1631,[H]C(=O)[C@@]([H])(C(=O)C([H])([H])[H])C([H])([H])[H],9.926057970713597
1648,[H]N(C(C(=O)[O-])=[N+]([H])[H])C([H])([H])[H],9.650417186059212
1679,[H]N([H])C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])[H],8.951116029506027
1688,[H]OC([H])([H])[C@]([H])(O[H])C([H])(C([H])([H])[H])C([H])([H])[H],10.324158853502832
